"","forest_VV","forest_HH","forest_HV"
"1",0.0230088271200657,0.0204803831875324,0.0207332279533148
"2",0.0377173870801926,0.0179606601595879,0.0203554164618254
"3",0.0504235364496708,0.0221863575279713,0.0127739617601037
"4",0.0520316660404205,0.0581231787800789,0.0187821611762047
"5",0.0651001334190369,0.0908689349889755,0.0162750333547592
"6",0.0326648615300655,0.0437376983463764,0.017347440123558
"7",0.0358186326920986,0.0191212259232998,0.0134656513109803
"8",0.0217775423079729,0.0206886660307646,0.0266774892807007
"9",0.0295256208628416,0.0301281847059727,0.0168717857450247
"10",0.041377816349268,0.0225549675524235,0.0184983182698488
"11",0.0280473064631224,0.0331468172371387,0.0197606012225151
"12",0.0550096109509468,0.0914656817913055,0.0188790392130613
"13",0.0352635383605957,0.041603047400713,0.0237731710076332
"14",0.156776040792465,0.0260603968054056,0.0273013673722744
"15",0.0172498393803835,0.0102244503796101,0.00439086835831404
"16",0.0132525265216827,0.019547475501895,0.00927676726132631
"17",0.0315568521618843,0.0148575054481626,0.0159626118838787
"18",0.029745526611805,0.026403333991766,0.0287428684532642
"19",0.0300991237163544,0.0578829310834408,0.0296360589563847
"20",0.0512314736843109,0.0788176506757736,0.0367815718054771
"21",0.084601104259491,0.071891076862812,0.0452794656157494
"22",0.0274059902876616,0.0280744284391403,0.0294113084673882
"23",0.0291400551795959,0.0241316091269255,0.00455313548445702
"24",0.0215983241796494,0.0362187288701534,0.0265825521200895
"25",0.0220163408666849,0.0599894821643829,0.020602447912097
"26",0.0338675677776337,0.160870954394341,0.0203205421566963
"27",0.0495686195790768,0.0495686195790768,0.0202033203095198
"28",0.0615215562283993,0.0538994185626507,0.0228664204478264
"29",0.00564733939245343,0.0066625913605094,0.00380719476379454
"30",0.0113888904452324,0.0103765446692705,0.0039481483399868
"31",0.0251754410564899,0.0342332720756531,0.00825861096382141
"32",0.0345127545297146,0.0337784439325333,0.024966673925519
"33",0.0285980403423309,0.0225375294685364,0.0450750589370728
"34",0.0113925216719508,0.0304575599730015,0.0172050353139639
"35",0.0209323056042194,0.038457028567791,0.0230417661368847
"36",0.0328329391777515,0.0124232741072774,0.011092210188508
"37",0.0143271144479513,0.0213011596351862,0.00288058421574533
"38",0.00944097153842449,0.01516920235008,0.00233372370712459
"39",0.00610301597043872,0.00634471932426095,0.00290044397115707
"40",0.0100498320534825,0.0135838398709893,0.00441750884056091
"41",0.0260172858834267,0.0240255333483219,0.0131953693926334
"42",0.0355120226740837,0.0465092957019806,0.0343664735555649
"43",0.0463295951485634,0.03493707254529,0.0151900295168161
"44",0.0588613674044609,0.0425243340432644,0.0206615440547466
"45",0.0693141967058182,0.0326953753829002,0.0308644343167543
"46",0.0247990824282169,0.014505123719573,0.020120007917285
"47",0.0106590567156672,0.0115909967571497,0.00733902305364609
"48",0.00207670172676444,0.00618977984413505,0.00197589071467519
"49",0.0073382961563766,0.00366914784535766,0.00452528242021799
