"","ocean_VV","ocean_HH","ocean_HV"
"1",0.0204756613820791,0.00747161963954568,0.0010266350582242
"2",0.0227036699652672,0.0110815530642867,0.000540563371032476
"3",0.0069170705974102,0.00299943774007261,0.000448895618319511
"4",0.00413587456569076,0.000441296782810241,0.000636288430541754
"5",0.00668414635583758,0.00162774533964694,0.000484860385768116
"6",0.0109394500032067,0.00374477123841643,0.00029486371204257
"7",0.015780970454216,0.00613704370334744,0.000350688584148884
"8",0.0222369749099016,0.00725377211347222,0.000713486224412918
"9",0.0190417878329754,0.00402807071805,0.000183094758540392
"10",0.0122876493260264,0.00131653435528278,0.00032913323957473
"11",0.0130454562604427,0.0026090913452208,0.000708641950041056
"12",0.00771659379824996,0.0027745058760047,0.000520219560712576
"13",0.0137870358303189,0.00442501716315746,0.000365703366696835
"14",0.0260218884795904,0.00862794648855925,0.000414140988141298
"15",0.0344023182988167,0.0127139016985893,0.00037393718957901
"16",0.0322633162140846,0.0119233997538686,0.000350687652826309
"17",0.0299228131771088,0.0129212150350213,0.000340031459927559
"18",0.0275677759200335,0.00706510804593563,0.000554125756025314
"19",0.0343301445245743,0.0108940992504358,0.00128166005015373
"20",0.032932236790657,0.00812831334769726,0.001508345361799
"21",0.0211071670055389,0.00397963356226683,0.000503751449286938
"22",0.0398365333676338,0.0129284784197807,0.000630658119916916
"23",0.0585562102496624,0.0177950039505959,0.000912565737962723
"24",0.0306646302342415,0.0112799061462283,0.000501329079270363
"25",0.0116338627412915,0.00359370652586222,0.000243640970438719
"26",0.0196569450199604,0.0040077269077301,0.000572532182559371
"27",0.0192733202129602,0.00835548620671034,0.000668438617140055
"28",0.025839276611805,0.00856739934533834,0.000411234796047211
"29",0.0162103679031134,0.00803216453641653,0.000486797653138638
"30",0.0123577630147338,0.00312894769012928,0.000568899791687727
"31",0.0228816792368889,0.0052029243670404,0.000335671938955784
"32",0.0222809314727783,0.00624324288219213,0.000572774559259415
"33",0.0205152593553066,0.00759404618293047,0.000680064782500267
"34",0.0301172882318497,0.00915252696722746,0.000469360500574112
"35",0.0430707111954689,0.0125899007543921,0.000441750511527061
"36",0.00976041797548532,0.00301499827764928,0.000204406678676605
"37",0.0158512033522129,0.00272267730906606,0.000372969778254628
"38",0.0208623148500919,0.00644437968730927,0.000436907168477774
"39",0.0134737640619278,0.00564285879954696,0.000383868813514709
"40",0.0119883054867387,0.0028771935030818,0.000359649071469903
"41",0.0200924016535282,0.00547974556684494,0.000202953815460205
"42",0.028934683650732,0.0080251432955265,0.000441750511527061
"43",0.0300608575344086,0.00665580993518233,0.000438844785094261
"44",0.0152668040245771,0.00511622102931142,0.00040929764509201
"45",0.0196546446532011,0.00545128807425499,0.000300071202218533
"46",0.0197155550122261,0.00488008698448539,0.000195203348994255
"47",0.0406410805881023,0.0118536483496428,0.00127003341913223
"48",0.070796400308609,0.016391284763813,0.00139500200748444
"49",0.0750177279114723,0.0161660481244326,0.00108984485268593
